,capacity,x,y
318,3.6,7.9965868,58.1474304
319,3.6,7.9965868,58.1474304
320,3.6,7.9965868,58.1474304
321,3.6,7.9965868,58.1474304
322,3.6,7.9965868,58.1474304
323,3.6,7.9965868,58.1474304
324,3.6,7.9965868,58.1474304
325,3.6,7.9965868,58.1474304
326,3.6,7.9965868,58.1474304
327,3.6,7.9965868,58.1474304
328,3.6,7.9965868,58.1474304
329,3.6,7.9965868,58.1474304
330,3.6,7.9965868,58.1474304
331,3.6,7.9965868,58.1474304
332,3.6,7.9965868,58.1474304
333,3.6,7.9965868,58.1474304
334,3.6,7.9965868,58.1474304
335,3.6,7.9965868,58.1474304
336,3.6,7.9965868,58.1474304
337,3.6,7.9965868,58.1474304
338,3.6,7.9965868,58.1474304
339,3.6,7.9965868,58.1474304
340,3.6,7.9965868,58.1474304
341,3.6,7.9965868,58.1474304
342,3.6,7.9965868,58.1474304
343,3.6,7.9965868,58.1474304
344,3.6,7.9965868,58.1474304
345,3.6,7.9965868,58.1474304
346,3.6,7.9965868,58.1474304
347,3.6,7.9965868,58.1474304
348,3.6,7.9965868,58.1474304
349,3.6,7.9965868,58.1474304
350,3.6,7.9965868,58.1474304
351,3.6,7.9965868,58.1474304
352,3.6,7.9965868,58.1474304
353,3.6,7.9965868,58.1474304
354,3.6,7.9965868,58.1474304
355,3.6,7.9965868,58.1474304
356,3.6,7.9965868,58.1474304
357,3.6,7.9965868,58.1474304
358,3.6,7.9965868,58.1474304
359,3.6,7.9965868,58.1474304
360,11.0,7.9946408,58.1475716
361,11.0,7.9946408,58.1475716
362,11.0,7.9946408,58.1475716
363,11.0,7.9946408,58.1475716
364,11.0,7.9946408,58.1475716
